comb_idx,OBSID,NCTETID,text,student_reasoning,annotator_comment
2298_48,2298,11047,"You can instead drawing [inaudible], you can just draw six boxes.",1.0,
634_321,634,14015,"I’m working on my words, because am I allowed to?",0.0,
2076_25,2076,14098,I don't know if this is right.,0.0,
2764_319,2764,11040,"Because if you add ninety-eight hundredths and five hundredths, I think it’s going to add up to, like, it’s almost –it’s going to almost add up to a hundred.",1.0,
2639_59,2639,14025,"Okay.  I cut it like – I thought I could cut it like your side, but it didn’t –",0.0,
224_231,224,14088,What if you don't – it doesn't really give you –,0.0,
680_28,680,14063,A bar graph or a double bar graph is used to compare data by category.,0.0,
2684_496,2684,11023,Today I learned that a set of fractions could be divided into many pieces.,0.0,
904_117,904,13020,If we have a whole lot of stuff [inaudible].,0.0,
1007_221,1007,14087,If that was a percent it would be 13 percent.  If it was a decimal it would be [Inaudible].,0.0,
2397_201,2397,11048,"Like they were supposed to drive 1,087 miles to Mr. F's sister's house.  So they drove 539 miles.  So we're trying to figure out how many miles they need to drive.  How many miles more we need to get to Mr. F sister's house.",1.0,
512_244,512,14027,What are we supposed to do?  Oh yeah –,0.0,
2764_199,2764,11040,"Because it’s [inaudible], like, I mean [inaudible].",0.0,
1029_3,1029,13062,Students will be able to determine the prime factors of a number using exponents with 80 percent accuracy after the lesson.,0.0,
4131_103,4131,14106,Then Emma asked her classmates the following question.,0.0,
497_270,497,14080,Three sides of the two.  Three pairs of the two --,0.0,
2255_547,2255,11014,For 105 times 8 I put 5 times 21 times 8.,0.0,
4530_24,4530,14114,You can do mental math and put 3 over 1.  Then it’s one half.,1.0,
169_17,169,13030,Can you back over this definition of [Inaudible],0.0,
11_677,11,11060,You do 40 minus 35.  It gives you five.,0.0,
2565_276,2565,11032,"Because there’s 156 on the bottom, and nine layers.",1.0,
2938_136,2938,12054,So there needs to be one more zero.,1.0,
891_238,891,14013,"No, because the last one you said three, three, three. [Inaudible].",1.0,
547_409,547,14095,I really struggle because I guess maybe [inaudible.],0.0,
4331_272,4331,14078,"You [inaudible] different connections? it’s own area of the building, too.  It’s it’s own separate section of the building.  So when it’s time to go to connections, your teacher walks you down the hallway to the connections classes and drops you off, and then comes back – and then your connections teacher drop you right back off to your homeroom classes.",0.0,
1152_101,1152,13015,Because the three is attached to the variable.,1.0,
109_108,109,11027,"That's what I imagine looks like 5,001.",1.0,
4104_137,4104,13015,Because nine times three equals 27 and you put the zero.,1.0,
925_361,925,14043,"But, so what do I do here [Inaudible], he brought fish home.",0.0,
210_30,210,14005,Numerator is it for top and then denominator is the bottom.  I know that the top number is the numerator because it’s north.,0.0,
482_128,482,14044,[Inaudible] science class [inaudible].  That [inaudible] class made us each [inaudible].,0.0,
636_221,636,12021,After measuring the height of my classmates I will be able to create and use a line plot.,0.0,
1043_158,1043,12026,You can just do 20 and 5 and [Inaudible],1.0,
4024_7,4024,14114,On the first one it’s forward but on the next one it’s backwards.,1.0,
4044_133,4044,14084,"You have to add a decimal.  Then you add another zero, and it’s just 75.",0.0,
769_206,769,12031,You just have to look at the number and you see what number.,0.0,
1042_216,1042,12012,He had the right answer.  He just wrote it too big and it went on to this problem so I'm having him do it again.,0.0,
2967_208,2967,12044,I have to count how many are in there?,0.0,
757_399,757,11049,"First, you have to add 6 to both, and then we got 40 and 82, and then we subtract both of them, our answer ended up to 42.",0.0,
2625_79,2625,13098,We didn’t work [inaudible].  We didn’t work [inaudible].,0.0,
4413_14,4413,14093,"A first grade class took a poll to find out their favorite ice cream.  One fourth choose chocolate, one fourth choose vanilla ,and one-half choose strawberry.  Two kids are—",0.0,
7_388,7,11050,I understand that she ate six-twelve of the pepperoni pizza and five twelve of the cheese pizza.,0.0,
659_1,659,14048,The sum of the numbers is a factor of 3.,0.0,
4109_128,4109,11070,"And on the bottom, some of them don’t have vertices.",1.0,
2708_81,2708,14070,You find one here and then you  can see the other part is exactly the same and then that whole box of 10 and then exactly 10 in the whole thing.  You just count how many [inaudible].,1.0,
70_122,70,11018,What [inaudible] 754.  I already had 750 so I just went 4 more.,0.0,
1018_285,1018,12040,Because it shows—because they're both less than.  It shows ten twelfths and not one half?,1.0,
239_399,239,12027,"Six.  Wait, seven.  Eight.  Then you have one here and one here.  So it's not nine.  You have to be really careful. This one, you made the same mistake.  Can I see what you did?  So what is the – can you just put your hands off this for a minute?  What is the parameter of this square?  How many people can fit?  Just put your hands off this for a minute.  No.  Just put your pencil down and sit up.  How many people can fit around this table?",0.0,teacher/student text is switched?
4530_133,4530,14114,You mean like when I did the one?,0.0,
4342_349,4342,12008,They wanted to run away because they were tired of [inaudible].,0.0,
2675_29,2675,14035,"I mean, it’s a line through the middle.",1.0,
935_141,935,13054,Six hundred forty-nine and thirty-six hundredths.,0.0,
249_120,249,14048,A green square.  The outsides are gonna change.  That would be what –,0.0,
2191_93,2191,11003,"[Inaudible] I knew it was two more than 411 and two less than 415, so it would be right here.",1.0,
755_123,755,11031,I would like to add on to what Student A said.,0.0,
4248_290,4248,11043,"Because I counted 900, and then 35 [inaudible] times 85 -",1.0,
1006_76,1006,13019,Can I write the weather's average temperature?,0.0,
2469_570,2469,11047,We did a story and a number line.,0.0,
30_354,30,11002,"And I’d say yes, because 3 times 1 is closest to 4.",1.0,
581_504,581,11016,I need help.  I can't think of anything.,0.0,
39_294,39,11052,"You know how like five-sixths, one more sixth…",1.0,
224_509,224,14088,How are we supposed to [Inaudible] three-fourths?,0.0,
935_37,935,13054,Now I get the zero part.  It’s to keep the place value.,1.0,
168_302,168,13063,"29 subtract 22 is seven, and plus seven plus two, ‘cause nine – plus that.",0.0,
4_69,4,11054,Just ‘cause the three [inaudible] by an accident and the three times eight.  And then I got a hundred four so I did thirteen times eight was a hundred and four.,1.0,
941_254,941,12021,"I have 40, who has 4 x 5?",0.0,
212_35,212,14023,Area equals pi times radius with a little 2 on top.,0.0,
871_499,871,14074,I don't know why [inaudible] my stomach starts to [inaudible].,0.0,
2987_89,2987,11054,"[Inaudible] I’m not sure about that, it might be likely.",0.0,
4024_148,4024,14114,On the other one they have the equal and same decimals.,0.0,
537_223,537,11059,"Oh wait, I forgot to put this down.  Yes.",0.0,
2164_118,2164,14070,I know that 20 times five equals 100 and five times nine equals 45.,1.0,
855_345,855,14067,"Then [Frankie’s] son came and [fire guy] she needed a whole dollar to cross the bridge and she had [five dimes]. [Inaudible] and the [inaudible], they added [it up] and they had 75 cents and only needed 25 more cents.  Then [inaudible] had 14 pennies.",0.0,
1073_58,1073,13009,Is it working?  It's still not working right?,0.0,
4193_162,4193,14132,"Well, I was thinking that maybe six … six-hundredths is ten – is ten –",1.0,
4010_56,4010,14093,"At first every time we gave each other 1, [inaudible], they always had a remainder of 1.",1.0,
2585_231,2585,11067,Two fourths plus one fifth equals three fifths and [inaudible].,0.0,
995_176,995,13083,I told you she was gonna be frustrated.,0.0,
2518_391,2518,12056,"One meter on each edge, what is the volume of the [Inaudible].",0.0,
250_174,250,11053,I’m bored.  The camera always makes me really bored.,0.0,
4348_127,4348,14003,I’m going to do two slices of each thing.,0.0,
882_486,882,12024,"[Inaudible] the same numbers, would you still put them as a tally?",0.0,
2483_318,2483,11076,When you use a fraction you can turn it into a decimal.,1.0,
930_65,930,13081,What’s the question that they’re asking?,0.0,
540_322,540,11052,"[Inaudible] numbers with the five thing.  We just did like you told us.  We found [Inaudible] like, the three-fourths and the two-fourths.  We went and then we found, like, 30 – three-tenths right here.  Then we go in the middle.",0.0,
2623_144,2623,13040,"Multiplying fractions.  Whole numbers and mixed numbers. Multiplying whole numbers.  The multiplication problem can be used to multiply the whole number and a fraction.  First you make the whole number as a fraction with one in the denominator.  Example, five times two thirds.  Five times two thirds equals five over one times two thirds equals is five over one times two thirds equals ten thirds.  Three and one third – equals three and one third.  Five times two thirds equals three and one third.",0.0,
754_249,754,11018,I can prove it that it's 300.,0.0,
4162_302,4162,14035,"Of all the students at Duncan Elementary, [inaudible] of the students went on a field trip to [inaudible] museum.  Three- fourths of the remainder went on a field trip to the Georgia Aquarium.",0.0,
4024_140,4024,14114,What if we don’t know how to.,0.0,
2652_19,2652,14053,Okay.  On number 13 you’re supposed to –,0.0,
334_23,334,11046,Five hundred and ninety is closer to six – six hundred.,1.0,
2928_222,2928,11020,[Inaudible] to make two.  Like when you’re just rounding [inaudible] estimating [inaudible] rounding.,0.0,
754_456,754,11018,"[It's wise, too, because there's no parts].  Look back and [inaudible] parts. [Crosstalk]",0.0,
437_127,437,11032,Why did you make so many boxes?  Why didn’t you [inaudible].,1.0,
2025_223,2025,14013,Can I work some more on the mean?,0.0,
1056_101,1056,13062,Do we put three nines or the whole nine or three nines?,0.0,
2056_321,2056,14063,Find out how much does a tire cost.,0.0,
4757_126,4757,12019,I didn’t spell country the right way.,0.0,
2658_91,2658,13102,"They make it look like it because they shade, because of the shadows.",0.0,
